Test Name, UCT003-VD-C03-S01-2
Test Date, 2025/02/14 09:49:46 AM
Operator ID, Uyilo
, 
Program Name, VD LCV5 UCT003 C03
Program Description, 
Program Database, C:\VisuaLCN\Programs\Standard tests.mdb
, 
Module Type, lD
Module Description, LCV 5-50-12
Address, Port: 1, Sys Controller: 3  Circuit: 4
Name, Channel 4
Device ID, Unknown
, 
Notes,   5.21b, MDB 9.542025/02/14 09:49:40 AM - Started by Masa
Editable Notes, 

Total Time,Cycle,Loop Counter #1,Loop Counter #2,Loop Counter #3,Step,Step time,Current,Voltage,Power,Amp-Hours,Watt-Hours,Unassigned A1,Unassigned A2,Unassigned A3,Unassigned A4,Unassigned A5,Unassigned A6,Unassigned A7,Unassigned A8,Mode,Data Acquisition Flag,
30.0,1,1,1,1,1,30.0,-1.56,12.917,-20.1,-0.01,-0.16,0,0,0,0,0,0,0,0,DCHG, ,
60.0,1,1,1,1,1,60.0,-1.56,12.887,-20.1,-0.02,-0.33,0,0,0,0,0,0,0,0,DCHG, ,
90.0,1,1,1,1,1,90.0,-1.56,12.88,-20.1,-0.03,-0.5,0,0,0,0,0,0,0,0,DCHG, ,
120.0,1,1,1,1,1,120.0,-1.56,12.876,-20.1,-0.05,-0.67,0,0,0,0,0,0,0,0,DCHG, ,
150.0,1,1,1,1,1,150.0,-1.56,12.872,-20.1,-0.06,-0.83,0,0,0,0,0,0,0,0,DCHG, ,
180.0,1,1,1,1,1,180.0,-1.56,12.868,-20.1,-0.07,-1,0,0,0,0,0,0,0,0,DCHG, ,
210.0,1,1,1,1,1,210.0,-1.56,12.864,-20,-0.09,-1.17,0,0,0,0,0,0,0,0,DCHG, ,
240.0,1,1,1,1,1,240.0,-1.56,12.86,-20,-0.1,-1.33,0,0,0,0,0,0,0,0,DCHG, ,
270.0,1,1,1,1,1,270.0,-1.56,12.856,-20,-0.11,-1.5,0,0,0,0,0,0,0,0,DCHG, ,
300.0,1,1,1,1,1,300.0,-1.56,12.852,-20,-0.12,-1.67,0,0,0,0,0,0,0,0,DCHG, ,
330.0,1,1,1,1,1,330.0,-1.56,12.848,-20,-0.14,-1.83,0,0,0,0,0,0,0,0,DCHG, ,
360.0,1,1,1,1,1,360.0,-1.56,12.844,-20,-0.15,-2,0,0,0,0,0,0,0,0,DCHG, ,
390.0,1,1,1,1,1,390.0,-1.56,12.841,-20,-0.16,-2.17,0,0,0,0,0,0,0,0,DCHG, ,
